Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2016/09/14,102000,63240,0.62,0.62,0.62,0.62,-0.01,2
2016/09/19,0,0,---,---,---,---,---,0
2016/09/20,101000,65680,0.65,0.68,0.65,0.68,0.04,2
2016/09/21,0,0,---,---,---,---,---,0
2016/09/22,2000,1260,0.63,0.63,0.63,0.63,-0.03,1
2016/09/23,0,0,---,---,---,---,---,0
2016/09/26,0,0,---,---,---,---,---,0
2016/09/29,0,0,---,---,---,---,---,0
2016/09/30,40000,21600,0.55,0.55,0.53,0.53,-0.05,2
2016/10/03,60000,30600,0.51,0.51,0.51,0.51,-0.02,1
2016/10/04,161000,86340,0.53,0.54,0.53,0.54,0.03,2
2016/10/05,0,0,---,---,---,---,---,0
2016/10/06,0,0,---,---,---,---,---,0
2016/10/07,100000,55000,0.55,0.55,0.55,0.55,0.02,1
2016/10/11,0,0,---,---,---,---,---,0
2016/10/12,0,0,---,---,---,---,---,0
2016/10/13,200000,96000,0.48,0.48,0.48,0.48,0.02,3
2016/10/14,0,0,---,---,---,---,---,0
2016/10/17,0,0,---,---,---,---,---,0
2016/10/18,0,0,---,---,---,---,---,0
2016/10/19,0,0,---,---,---,---,---,0
2016/10/20,11000,4510,0.41,0.41,0.41,0.41,0.00,2
2016/10/21,20000,8200,0.41,0.41,0.41,0.41,0.00,1
2016/10/24,0,0,---,---,---,---,---,0
2016/10/25,0,0,---,---,---,---,---,0
2016/10/26,0,0,---,---,---,---,---,0
2016/10/27,0,0,---,---,---,---,---,0
2016/10/28,0,0,---,---,---,---,---,0
2016/10/31,0,0,---,---,---,---,---,0
2016/11/01,0,0,---,---,---,---,---,0
2016/11/02,250000,71000,0.30,0.30,0.28,0.28,-0.04,3
2016/11/03,0,0,---,---,---,---,---,0
2016/11/04,50000,13500,0.27,0.27,0.27,0.27,0.00,1
2016/11/07,0,0,---,---,---,---,---,0
2016/11/08,0,0,---,---,---,---,---,0
2016/11/09,0,0,---,---,---,---,---,0
2016/11/10,0,0,---,---,---,---,---,0
2016/11/11,0,0,---,---,---,---,---,0
2016/11/14,0,0,---,---,---,---,---,0
2016/11/15,5000,900,0.18,0.18,0.18,0.18,-0.02,1
2016/11/16,0,0,---,---,---,---,---,0
2016/11/17,0,0,---,---,---,---,---,0
2016/11/18,0,0,---,---,---,---,---,0
2016/11/21,10000,2200,0.22,0.22,0.22,0.22,0.05,1
2016/11/22,0,0,---,---,---,---,---,0
2016/11/23,0,0,---,---,---,---,---,0
2016/11/24,0,0,---,---,---,---,---,0
2016/11/25,60000,17000,0.27,0.32,0.27,0.32,0.08,5
2016/11/28,110000,32200,0.30,0.30,0.29,0.29,-0.03,3
2016/11/29,80000,21900,0.27,0.28,0.27,0.28,-0.01,3
2016/11/30,30000,8400,0.30,0.30,0.27,0.27,-0.01,2
2016/12/01,0,0,---,---,---,---,---,0
2016/12/02,10000,2600,0.26,0.26,0.26,0.26,0.00,1
2016/12/05,40000,11300,0.27,0.30,0.27,0.30,0.04,3
2016/12/06,90000,23500,0.27,0.27,0.26,0.26,-0.04,4
2016/12/07,40000,10800,0.27,0.27,0.27,0.27,0.01,2
2016/12/08,20000,5400,0.27,0.27,0.27,0.27,0.00,1
2016/12/09,0,0,---,---,---,---,---,0
2016/12/12,190000,47500,0.25,0.25,0.25,0.25,-0.02,4
2016/12/13,0,0,---,---,---,---,---,0
2016/12/14,0,0,---,---,---,---,---,0
2016/12/15,30000,8700,0.29,0.29,0.29,0.29,0.04,1
2016/12/16,380000,113450,0.29,0.30,0.29,0.30,0.01,8
2016/12/19,100000,28200,0.29,0.29,0.27,0.27,-0.03,3
2016/12/20,85000,23900,0.28,0.29,0.28,0.29,0.02,5
2016/12/21,29000,8330,0.29,0.29,0.27,0.27,-0.02,4
2016/12/22,36000,9410,0.27,0.27,0.26,0.26,-0.01,2
2016/12/23,22000,5940,0.27,0.27,0.27,0.27,0.01,2
2016/12/26,20000,5400,0.27,0.27,0.27,0.27,0.00,1
